Index_Close,Oil_Close
40.07,28.58
41.639999,28.84
39.990002,28.8
38.869999,27.36
38.529999,27.36
40.720001,26.01
42.470001,27.59
39.880001,30.46
41.759998,29.82
41.93,30.94
43.150002,31.83
44.990002,33.01
43.950001,33.14
42.240002,32.45
44.099998,30.98
44.25,32.38
43.279999,32.76
42.07,32.35
40.209999,31.64
39.880001,30.15
39.599998,29.64
40.549999,28.82
40.790001,31.8
42.77,31.09
41.860001,33.21
41.119999,33.2
42.880001,31.66
41,33.59
41.509998,31.9
41.380001,31.5
42.200001,32.83
42.049999,35.76
42.990002,35.92
45,35.73
46.790001,36.38
48.16,35.75
49.48,37.61
46.240002,39.02
46.830002,39.16
47.110001,40.26
48.93,38.63
48.41,39.41
48.150002,38.06
49.610001,37.49
50.450001,38.38
50.23,39.29
49.950001,39.26
49.700001,39.91
47.75,40.54
47.970001,38.84
47.77,38.33
47.919998,38.33
47.93,36.75
48.400002,36.75
47.470001,36.75
47.009998,36.42
46.650002,36.05
47.709999,35.88
47.669998,37.77
48.959999,37.15
49.09,40.71
51.709999,41.58
51.73,43.02
51.779999,42.81
51.040001,43.02
51.889999,41.32
53.330002,41.64
53.91,43.02
53.450001,43.09
54.900002,43.48
53.919998,43.97
55.189999,42.97
